no,filename,tool,timeout,init,inv,next,args
1,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-Sync1AsInv.cfg
2,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-Sync2AsInv.cfg
3,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-Sync3AsInv.cfg
4,MC_1_1_4.tla,tlc,4h,,Termination,,-workers 4 -config MC-Termination.cfg
5,MC_1_1_4.tla,tlc,4h,,Termination2,,-workers 4 -config MC-Termination2.cfg
6,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-CorrectBlocksInv.cfg
7,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-SyncFromCorrectInv.cfg
8,MC_1_1_4.tla,tlc,4h,,,,-workers 4 -config MC-CorrectNeverSuspectedInv.cfg
